nid,condition,username,animal,animal_sig,scientific,animal_wri,animal_cat,animal_gro,confidence,observatio,created_da,time_since,latitude,longitude,salvage,road_type,roadside_f,speed_limi,travel_fre,carcass_po,incorrect_,observer,CROSv1_NID,input_meth,review_sta,verificati,verifica_1,Image,chips_Code,chips_Numb,chips_Date,chips_Crea,chips_Area,chips_Type,chips_Stre,chips_Loca,chips_Lati,chips_Long,chips_Mark,chips_Anim,chips_Conf,chips_Nu_1,chips_Age,chips_Casc,chips_An_1,chips_Driv,chips_Nu_2,chips_Attr,chips_Note,chips_Deta,YEAR_RECOR,STATE_CODE,ROUTE_ID,ROUTE_NUMB,ROUTE_NAME,ROUTE_QUAL,ROUTE_SIGN,F_SYSTEM,FACILITY_T,URBAN_CODE,NHS,STRAHNET,OWNERSHIP,TRUCK,THROUGH_LA,PEAK_LANES,COUNTER_PE,SHOULDER_T,SHOULDER_W,SHOULDER_1,LANE_WIDTH,MEDIAN_TYP,MEDIAN_WID,ACCESS_CON,WIDENING_O,WIDENING_P,HOV_LANES,HOV_TYPE,SPEED_LI_1,TOLL_CHARG,TOLL_ID,TOLL_TYPE,AADT,AADT_COMBI,AADT_SINGL,PCT_PEAK_C,PCT_PEAK_S,K_FACTOR,DIR_FACTOR,IRI,PSR,SURFACE_TY,CRACKING_P,FAULTING,RUTTING,STRUCTURE_,YEAR_LAST_,YEAR_LAST1,IS_SAMPLE,SAMPLE_ID,EXPANSION_,National_R,TMC,TMC_Type,TMC_RoadNu,TMC_RoadNa,TMC_FirstN,TMC_Countr,TMC_State,TMC_County,TMC_Zip,TMC_Direct,TMC_StartL,TMC_Star_1,TMC_EndLat,TMC_EndLon,TMC_Miles,Shape_Leng,StreetImageryDate,MedianType,SecondaryAttribute,MedianWidth,RoadsideBarrier,MedianNotes,bldg_dist,nhd_dist,11_dist,21222324_dist,222324_dist,31_dist,414243_dist,52_dist,71_dist,8182_dist,9095_dist,119095_dist
208698,Dead,Caltrans,Mule (or Black tailed) Deer,NA,Odocoileus hemionus,NA,Mammal (Large),"Deer, Moose, and Caribou",NA,3/27/2020 12:00,45:00.0,NA,39.70874996,-120.0346111,No,NA,NA,NA,NA,NA,NA,NA,0,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,4,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,9400,768,191,NA,NA,NA,NA,52,NA,2,2.8,NA,0.22,0,NA,NA,0,NA,0,6_SHS_395_P,105+07526,P1.3,US-395,NA,CA-70,United States,California,Lassen,96109,Northbound,39.673992,-120.00121,39.770899,-120.038436,7.362413713,0.001513238,Aug-24,vegetative,grass,30-40 meters,cable,"one side, break in median",888,306,5135,0,0,5433,4905,30,361,6174,361,361
208650,Dead,Caltrans,Mule (or Black tailed) Deer,NA,Odocoileus hemionus,NA,Mammal (Large),"Deer, Moose, and Caribou",NA,4/24/2017 12:00,45:00.0,NA,39.70949999,-120.0355001,No,NA,NA,NA,NA,NA,NA,NA,0,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_395_S,395,NA,10,3,3,2,99999,1,0,1,0,4,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,9400,768,191,NA,NA,NA,NA,53,NA,2,8.1,NA,0.193,0,NA,NA,0,NA,0,6_SHS_395_S,105-08521,P3.14,US-395,NA,CA--NV State Border,United States,California,Lassen,96109,Southbound,39.771729,-120.039058,39.673335,-120.001209,7.485296042,0.001502894,Aug-24,vegetative,sparse shrubs/trees,30-40 meters,cable,NA,968,283,5222,0,0,5521,4908,30,309,6262,330,330
208647,Dead,Caltrans,Mule (or Black tailed) Deer,NA,Odocoileus hemionus,NA,Mammal (Large),"Deer, Moose, and Caribou",NA,4/17/2017 12:00,45:00.0,NA,39.70986098,-120.035639,No,NA,NA,NA,NA,NA,NA,NA,0,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_395_S,395,NA,10,3,3,2,99999,1,0,1,0,4,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,9400,768,191,NA,NA,NA,NA,53,NA,2,8.1,NA,0.193,0,NA,NA,0,NA,0,6_SHS_395_S,105-08521,P3.14,US-395,NA,CA--NV State Border,United States,California,Lassen,96109,Southbound,39.771729,-120.039058,39.673335,-120.001209,7.485296042,0.001502894,Aug-24,vegetative,grass,40-50 meters,NA,break in median,987,301,5238,0,0,5536,4917,30,295,6277,331,331
129526,Dead,chips,Mule (or Black tailed) Deer,NA,Odocoileus hemionus,NA,Mammal (Large),"Deer, Moose, and Caribou",100% certain,6/2/2019 4:14,51:00.0,NA,39.710934,-120.53241,No,NA,NA,NA,NA,NA,NA,NA,6217591,Bulk Upload CSV,not reviewed,not verified,2.01906E+14,NA,2.01906E+14,25,14:00.0,15:00.0,Quincy,Trfc Collision-No Inj,0 SR89,89/ BERRY CREEK,39.710934,-120.53241,x,Mule (or Black tailed) Deer,100% certain,1,NA,NA,Unknown fate,NA,1,Collision,NA,"Detail Information
11:15 AM 3 [4] DAMAGER TO VEH
11:15 AM 2 [3] RP / INV ADV DEER NO LONGER IN THE AREA
11:14 AM 1 [1] VEH VS DEER
Unit Information
11:52 AM 3 Unit Assigned
11:52 AM 2 Unit Enroute
12:00 PM 1 Unit At Scene
",2016,6,SHS_089_P,89,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2400,47,37,NA,NA,NA,NA,118,NA,2,16.8,NA,0.283,0,NA,NA,0,NA,0,6_SHS_089_P,105+08298,P1.11,CA-89,NA,CR-A15/Portola-McLears Rd,United States,California,Sierra,96124,Northbound,39.6633284,-120.4327508,39.733156,-120.557501,9.45259391,0.000729878,Oct-22,no median,NA,NA,NA,NA,150,85,5939,0,60,7428,30,124,1140,5913,360,360
208679,Dead,Caltrans,Mule (or Black tailed) Deer,NA,Odocoileus hemionus,NA,Mammal (Large),"Deer, Moose, and Caribou",NA,12/14/2018 12:00,45:00.0,NA,39.71272201,-120.035889,No,NA,NA,NA,NA,NA,NA,NA,0,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,5,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,9400,768,191,NA,NA,NA,NA,51,NA,2,1.6,NA,0.161,0,NA,NA,0,NA,0,6_SHS_395_P,105+07526,P1.3,US-395,NA,CA-70,United States,California,Lassen,96109,Northbound,39.673992,-120.00121,39.770899,-120.038436,7.362413713,0.001346783,Aug-24,vegetative,sparse shrubs/trees,NA,NA,NA,1074,402,5368,0,0,5667,5077,30,297,6407,443,443
208709,Dead,Caltrans,Mule (or Black tailed) Deer,NA,Odocoileus hemionus,NA,Mammal (Large),"Deer, Moose, and Caribou",NA,1/30/2021 12:00,45:00.0,NA,39.71625001,-120.036972,No,NA,NA,NA,NA,NA,NA,NA,0,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,5,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,9400,768,191,NA,NA,NA,NA,53,NA,2,0.2,NA,0.226,0,NA,NA,0,NA,0,6_SHS_395_P,105+07526,P1.3,US-395,NA,CA-70,United States,California,Lassen,96109,Northbound,39.673992,-120.00121,39.770899,-120.038436,7.362413713,0.001513239,Aug-24,vegetative,sparse shrubs/trees,40-50 meters,cable,NA,787,485,5599,0,0,5899,5210,30,247,6636,551,551
208688,Dead,Caltrans,Mule (or Black tailed) Deer,NA,Odocoileus hemionus,NA,Mammal (Large),"Deer, Moose, and Caribou",NA,5/13/2019 12:00,45:00.0,NA,39.71911101,-120.037528,No,NA,NA,NA,NA,NA,NA,NA,0,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,5,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,9400,768,191,NA,NA,NA,NA,117,NA,2,7.5,NA,0.229,0,NA,NA,0,NA,0,6_SHS_395_P,105+07526,P1.3,US-395,NA,CA-70,United States,California,Lassen,96109,Northbound,39.673992,-120.00121,39.770899,-120.038436,7.362413713,0.001513239,Aug-24,vegetative,grass,40-50 meters,NA,NA,607,450,5786,0,0,6085,5166,30,90,6818,443,443
153770,Dead,chips,Mule (or Black tailed) Deer,NA,Odocoileus hemionus,NA,Mammal (Large),"Deer, Moose, and Caribou",100% certain,4/26/2022 1:23,49:00.0,NA,39.721232,-120.038354,No,NA,NA,NA,NA,NA,NA,NA,10397315,Bulk Upload CSV,not reviewed,not verified,2.02204E+14,NA,2.02204E+14,12,23:00.0,22:00.0,Quincy,Trfc Collision-No Inj,90 Mm395 S Las R0.90,NA,39.721232,-120.038354,x,Mule (or Black tailed) Deer,100% certain,1,NA,NA,"Fatality, result of collision",NA,1,"Collision, Vehicle driveable",NA,"Detail Information
8:52 AM 7 [11] CT DISP ADV THE 1125/1144 DEER HAS BEEN TAKEN CARE OF
8:32 AM 6 [9] 1039 CALTRANS
8:32 AM 5 [8] RP RECONTACTED ADVD BIG RIG CAME THROUGH HIT THE DEER SPREADING IT TO BOTH LANES
8:27 AM 4 [7] 1039 20-55 AT THE PORTOLA OFF",2016,6,SHS_395_S,395,NA,10,3,3,2,99999,1,0,1,0,5,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,9400,768,191,NA,NA,NA,NA,58,NA,2,0.2,NA,0.186,0,NA,NA,0,NA,0,6_SHS_395_S,105-08521,P3.14,US-395,NA,CA--NV State Border,United States,California,Lassen,96109,Southbound,39.771729,-120.039058,39.673335,-120.001209,7.485296042,0.001530597,Aug-24,vegetative,dense shrubs/trees,40-50 meters,tall fence,NA,573,360,5945,0,0,6244,5125,30,30,6974,390,390
208660,Dead,Caltrans,Mule (or Black tailed) Deer,NA,Odocoileus hemionus,NA,Mammal (Large),"Deer, Moose, and Caribou",NA,2/8/2018 12:00,45:00.0,NA,39.72416703,-120.038583,No,NA,NA,NA,NA,NA,NA,NA,0,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_395_S,395,NA,10,3,3,2,99999,1,0,1,0,4,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,9400,768,191,NA,NA,NA,NA,91,NA,2,9.1,NA,0.136,0,NA,NA,0,NA,0,6_SHS_395_S,105-08521,P3.14,US-395,NA,CA--NV State Border,United States,California,Lassen,96109,Southbound,39.771729,-120.039058,39.673335,-120.001209,7.485296042,0.001492434,Aug-24,"vegetative, concrete",sparse shrubs/trees,30-40 meters,concrete,bridge,624,402,6131,0,0,6428,5147,30,30,7151,390,390
28011,Dead,wildlifer,Mule (or Black tailed) Deer,NA,Odocoileus hemionus,NA,Mammal (Large),"Deer, Moose, and Caribou",100% certain,3/13/2015 4:00,05:00.0,about two weeks,39.736977,-120.57656,NA,NA,NA,NA,weekly,NA,NA,Terri Weist,45510,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_089_P,89,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2400,47,37,NA,NA,NA,NA,189,NA,2,26,NA,0.456,0,NA,NA,0,NA,0,6_SHS_089_P,105+08299,P1.11,CA-89,NA,Gold Lake Hwy,United States,California,Plumas,96103,Northbound,39.733156,-120.557501,39.7543686,-120.599059,2.926203809,0.001617111,Oct-22,no median,NA,NA,cable,both sides,127,30,4604,0,30,5105,30,30,300,1167,60,60
