"nid","condition","username","animal","animal_sig","scientific","animal_wri","animal_cat","animal_gro","confidence","observatio","created_da","time_since","latitude","longitude","salvage","road_type","roadside_f","speed_limi","travel_fre","carcass_po","incorrect_","observer","CROSv1_NID","input_meth","review_sta","verificati","verifica_1","Image","chips_Code","chips_Numb","chips_Date","chips_Crea","chips_Area","chips_Type","chips_Stre","chips_Loca","chips_Lati","chips_Long","chips_Mark","chips_Anim","chips_Conf","chips_Nu_1","chips_Age","chips_Casc","chips_An_1","chips_Driv","chips_Nu_2","chips_Attr","chips_Note","chips_Deta","ROUTE_NUMB","AADT","StreetImageryDate","MedianType","SecondaryAttribute","MedianWidth","RoadsideBarrier","MedianNotes"
51316,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2018-11-17 05:30:00,"2018/11/17 07:40:00.000","definitely less than 6 hours",39.77055,-120.595128,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",76390,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,NA,NA
84209,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2020-10-05 14:45:00,"2020/10/06 12:12:00.000","definitely less than 6 hours",39.7714092351,-120.584187188,"No","state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,NA,NA
80502,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2020-02-25 15:45:00,"2020/02/25 17:29:00.000","definitely less than 6 hours",39.7717720676,-120.582692185,"No","state / rural highway",NA,"55 mph","several times per month","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,NA,NA
48708,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-08-13 05:15:00,"2017/08/13 07:12:00.000","definitely less than 12 hours",39.77571,-120.575809,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",71312,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,NA,NA
48679,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-08-02 02:45:00,"2017/08/02 12:22:00.000","definitely less than 24 hours",39.776485,-120.575209,NA,"state / rural highway",NA,"55 mph","weekly","road surface",NA,"Gary Rotta",71262,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,NA,NA
58266,"Dead","ravenamstutz","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2017-03-18 06:15:00,"2017/03/18 06:58:00.000","definitely less than 6 hours",39.776682,-120.574436,NA,"state / rural highway",NA,"55 mph","monthly","road surface","Correct Species Entered","Gary Rotta",69725,NA,"reviewed","not verified","can't id from pic","/california/sites/default/files/styles/thumbnail/public/images/observations/2019/04/P1000812.JPG?itok=AZn0oZS9",0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median","pull-out",NA,NA,NA
81054,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2020-04-10 10:30:00,"2020/04/10 12:37:00.000","definitely less than 6 hours",39.7774410763,-120.563478039,"No","state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median","pull-out",NA,NA,NA
50044,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2018-03-26 02:45:00,"2018/03/26 09:35:00.000","exact time of impact (witnessed event)",39.77789,-120.60791,NA,"state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",73545,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2022-10-01,"no median",NA,NA,NA,NA
51599,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2019-01-10 02:15:00,"2019/01/11 08:26:00.000","definitely less than 6 hours",39.782379,-120.615898,NA,"state / rural highway",NA,"55 mph","monthly","road surface",NA,"Gary Rotta",76813,"Bulk Upload CSV","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,5125,2024-07-01,"no median",NA,NA,NA,NA
61938,"Dead","grotta","Western Gray Squirrel",NA,"Sciurus griseus",NA,"Mammal (Small)","Squirrels","100% certain",2019-11-09 14:00:00,"2019/11/09 17:35:00.000","definitely less than 12 hours",39.7856118731,-120.622446391,"No","state / rural highway",NA,"55 mph","several times per month","road surface",NA,"Gary Rotta",0,"Manual Entry","not reviewed","not verified",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,70,2950,2022-10-01,"no median",NA,NA,NA,NA
