cid,YEAR_RECOR,STATE_CODE,ROUTE_ID,ROUTE_NUMB,ROUTE_NAME,ROUTE_QUAL,ROUTE_SIGN,F_SYSTEM,FACILITY_T,URBAN_CODE,NHS,STRAHNET,OWNERSHIP,TRUCK,THROUGH_LA,PEAK_LANES,COUNTER_PE,SHOULDER_T,SHOULDER_W,SHOULDER_1,LANE_WIDTH,MEDIAN_TYP,MEDIAN_WID,ACCESS_CON,WIDENING_O,WIDENING_P,HOV_LANES,HOV_TYPE,SPEED_LIMI,TOLL_CHARG,TOLL_ID,TOLL_TYPE,AADT,AADT_COMBI,AADT_SINGL,PCT_PEAK_C,PCT_PEAK_S,K_FACTOR,DIR_FACTOR,IRI,PSR,SURFACE_TY,CRACKING_P,FAULTING,RUTTING,STRUCTURE_,YEAR_LAST_,YEAR_LAST1,IS_SAMPLE,SAMPLE_ID,EXPANSION_,National_R,TMC,TMC_Type,TMC_RoadNu,TMC_RoadNa,TMC_FirstN,TMC_Countr,TMC_State,TMC_County,TMC_Zip,TMC_Direct,TMC_StartL,TMC_Star_1,TMC_EndLat,TMC_EndLon,TMC_Miles,Shape_Leng,StreetImageryDate,MedianType,SecondaryAttribute,MedianWidth,RoadsideBarrier,MedianNotes,Latitude,Longitude,bldg_dist,nhd_dist,ow_dist,dev_dist,dev_int_dist,barren_dist,forest_dist,shrub_dist,grassland_dist,cultivated_dist,wetland_dist,wet_dist
1,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,880,331,308,NA,NA,NA,NA,74,NA,2,0,NA,0.155,0,NA,NA,0,NA,0,6_SHS_395_P,105+07528,P1.11,US-395,NA,CA-299/12th St/N Main St,United States,California,Modoc,96101,Northbound,40.866294,-120.460618,41.494524,-120.542586,45.66814631,0.001656135,Nov-23,no median,NA,NA,cable,both sides,41.00162834,-120.4924928,1645,570,1321,0,67,6875,1867,30,339,630,67,67
2,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,880,331,308,NA,NA,NA,NA,67,NA,2,0.5,NA,0.267,0,NA,NA,0,NA,0,6_SHS_395_P,105+08479,P1.11,US-395,NA,School House Rd,United States,California,Lassen,NA,Northbound,40.3819718,-120.3854254,40.798624,-120.365979,35.42444149,0.001548187,Nov-23,no median,NA,NA,cable,one side,40.7941311,-120.3595408,361,2880,6683,0,0,481,3583,30,212,4676,2161,2161
7,2016,6,SHS_036_P,36,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,1825,729,138,NA,NA,NA,NA,88,NA,2,21.2,NA,0.205,0,NA,NA,0,NA,0,6_SHS_036_P,105+08486,P1.11,CA-36,NA,CR-A6/Manton Rd/Long Rd,United States,California,Tehama,96080,Eastbound,40.1861116,-122.1860154,40.3136014,-122.0708826,11.24847416,0.001744428,Nov-23,no median,NA,NA,NA,NA,40.22982382,-122.165687,1269,1224,1323,0,0,2258,2601,42,30,2554,1195,1195
9,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,950,241,26,NA,NA,NA,NA,74,NA,2,0,NA,0.196,0,NA,NA,0,NA,0,6_SHS_395_P,105+08479,P1.11,US-395,NA,School House Rd,United States,California,Lassen,NA,Northbound,40.3819718,-120.3854254,40.798624,-120.365979,35.42444149,0.001663972,Nov-23,no median,NA,NA,cable,both sides,40.71948199,-120.3060922,90,636,1500,0,0,2402,433,30,395,661,30,30
10,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,6300,690,101,NA,NA,NA,NA,73,NA,2,0,NA,0.191,0,NA,NA,0,NA,0,6_SHS_395_P,105+08474,P1.11,US-395,NA,CR-A26/Garnier Rd,United States,California,Lassen,96109,Northbound,39.778325,-120.0382634,40.090829,-120.171973,25.02454263,0.000933094,Nov-23,no median,NA,NA,NA,NA,40.05017694,-120.1249559,150,228,3381,0,0,9573,2934,30,42,571,134,134
12,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,6300,690,101,NA,NA,NA,NA,73,NA,2,0,NA,0.223,0,NA,NA,0,NA,0,6_SHS_395_P,105+08474,P1.11,US-395,NA,CR-A26/Garnier Rd,United States,California,Lassen,96109,Northbound,39.778325,-120.0382634,40.090829,-120.171973,25.02454263,0.001646514,Nov-23,no median,intersection,NA,cable,4-way,40.02727747,-120.1069401,67,361,735,0,0,10086,3516,67,124,543,693,693
13,2016,6,SHS_395_P,395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,850,195,33,NA,NA,NA,NA,71,NA,2,0,NA,0.087,0,NA,NA,0,NA,0,6_SHS_395_P,105+07528,P1.11,US-395,NA,CA-299/12th St/N Main St,United States,California,Modoc,96101,Northbound,40.866294,-120.460618,41.494524,-120.542586,45.66814631,0.001603684,Nov-23,no median,NA,NA,cable,one side,41.05414935,-120.4740411,30,376,362,0,30,5555,283,30,192,313,301,301
16,2016,6,SHS_005_S,5,NA,10,2,1,2,99999,1,0,1,0,5,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,40000,5445,825,NA,NA,NA,NA,85,NA,2,0,NA,0.24,0,NA,NA,0,NA,0,6_SHS_005_S,105-05366,P3.4,I-5,NA,Herbert S Miles Rest Area,United States,California,Tehama,96080,Southbound,40.289978,-122.278999,40.253688,-122.262718,2.66469361,0.001488524,Jul-24,vegetative,"sparse shrubs/trees, grass",30-40 meters,"thrie beam, cable",NA,40.27721503,-122.2721553,450,90,2292,0,30,3500,430,30,60,4837,1473,1473
17,2016,6,SHS_005_S,5,NA,10,2,1,2,99999,1,0,1,0,4,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,40000,2922,943,NA,NA,NA,NA,43,NA,2,0.9,NA,0.157,0,NA,NA,0,NA,0,6_SHS_005_S,105-05368,P1.3,I-5,NA,Snively Rd/Exit 659,United States,California,Tehama,96022,Southbound,40.364658,-122.284097,40.33111,-122.281636,2.321131371,0.001482397,Jul-24,vegetative,"sparse shrubs/trees, grass",30-40 meters,NA,NA,40.34028765,-122.2822233,391,524,624,0,0,1170,2040,30,42,2239,1298,624
22,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,5350,690,101,NA,NA,NA,NA,58,NA,2,0,NA,0.203,0,NA,NA,0,NA,0,6_SHS_395_P,105+08476,P1.11,US-395,NA,CR-A3/Standish Buntingville Rd (Janesville),United States,California,Lassen,96121,Northbound,40.1249432,-120.247357,40.283632,-120.4901174,17.36995406,0.001623816,Nov-23,no median,NA,NA,NA,NA,40.27713941,-120.4845624,182,234,4995,30,30,2681,450,0,384,300,379,379
