nid,condition,username,animal,animal_sig,scientific,animal_wri,animal_cat,animal_gro,confidence,observatio,created_da,time_since,latitude,longitude,salvage,road_type,roadside_f,speed_limi,travel_fre,carcass_po,incorrect_,observer,CROSv1_NID,input_meth,review_sta,verificati,verifica_1,Image,chips_Code,chips_Numb,chips_Date,chips_Crea,chips_Area,chips_Type,chips_Stre,chips_Loca,chips_Lati,chips_Long,chips_Mark,chips_Anim,chips_Conf,chips_Nu_1,chips_Age,chips_Casc,chips_An_1,chips_Driv,chips_Nu_2,chips_Attr,chips_Note,chips_Deta,YEAR_RECOR,STATE_CODE,ROUTE_ID,ROUTE_NUMB,ROUTE_NAME,ROUTE_QUAL,ROUTE_SIGN,F_SYSTEM,FACILITY_T,URBAN_CODE,NHS,STRAHNET,OWNERSHIP,TRUCK,THROUGH_LA,PEAK_LANES,COUNTER_PE,SHOULDER_T,SHOULDER_W,SHOULDER_1,LANE_WIDTH,MEDIAN_TYP,MEDIAN_WID,ACCESS_CON,WIDENING_O,WIDENING_P,HOV_LANES,HOV_TYPE,SPEED_LI_1,TOLL_CHARG,TOLL_ID,TOLL_TYPE,AADT,AADT_COMBI,AADT_SINGL,PCT_PEAK_C,PCT_PEAK_S,K_FACTOR,DIR_FACTOR,IRI,PSR,SURFACE_TY,CRACKING_P,FAULTING,RUTTING,STRUCTURE_,YEAR_LAST_,YEAR_LAST1,IS_SAMPLE,SAMPLE_ID,EXPANSION_,National_R,TMC,TMC_Type,TMC_RoadNu,TMC_RoadNa,TMC_FirstN,TMC_Countr,TMC_State,TMC_County,TMC_Zip,TMC_Direct,TMC_StartL,TMC_Star_1,TMC_EndLat,TMC_EndLon,TMC_Miles,Shape_Leng,StreetImageryDate,MedianType,SecondaryAttribute,MedianWidth,RoadsideBarrier,MedianNotes,bldg_dist,nhd_dist,ow_dist,dev_dist,dev_int_dist,barren_dist,forest_dist,shrub_dist,grassland_dist,cultivated_dist,wetland_dist,wet_dist
27564,Dead,m_tylr,Western Gray Squirrel,NA,Sciurus griseus,NA,Mammal (Small),Squirrels,100% certain,1/19/2015 6:45,01:00.0,definitely less than 6 hours,41.453555,-122.869077,NA,NA,NA,NA,daily,NA,NA,Michael Taylor,44957,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_003_P,3,NA,10,4,4,2,99999,0,0,1,0,2,2,1,2,6,0,12,1,0,3,ABC,0,0,0,65,0,NA,0,1350,63,10,0.793,0.126,17,60,84,NA,2,0.3,NA,0.122,0,NA,NA,1,SPX16X279037,8.701,6_SHS_003_P,105+20692,P1.11,CA-3,NA,Horn Ln,United States,California,Siskiyou,96027,Northbound,41.395423,-122.84335,41.455486,-122.871799,4.650147939,0.001664053,Apr-21,no median,NA,NA,cable,NA,30,313,1020,30,30,170,947,0,90,120,700,700
27581,Dead,mallory_wilson210,Western Gray Squirrel,NA,Sciurus griseus,NA,Mammal (Small),Squirrels,100% certain,1/20/2015 4:30,36:00.0,definitely less than 24 hours,39.934409,-120.888973,NA,NA,NA,NA,monthly,NA,NA,Mallory Wilson,44978,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,5750,88,91,NA,NA,NA,NA,64,NA,2,1,NA,0.35,0,NA,NA,0,NA,0,6_SHS_070_P,105+08894,P1.11,CA-70,NA,Squirrel Creek Rd,United States,California,Plumas,95971,Eastbound,39.936754,-120.948961,39.9123986,-120.8075866,8.334405727,0.001825428,Oct-22,no median,NA,NA,NA,NA,42,741,1075,0,0,18382,42,134,212,1057,408,408
27879,Dead,cdillingham,Western Gray Squirrel,NA,Sciurus griseus,NA,Mammal (Small),Squirrels,100% certain,2/23/2015 2:15,23:00.0,definitely less than 24 hours,40.076537,-120.937337,NA,NA,NA,NA,monthly,NA,NA,Colin Dillingham,45341,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_089_P,89,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2100,137,107,NA,NA,NA,NA,112,NA,2,2.3,NA,0.097,0,NA,NA,0,NA,0,6_SHS_089_P,105+08779,P1.11,CA-89,NA,CR-A22/Arlington Rd,United States,California,Plumas,95934,Northbound,40.0386704,-120.983902,40.085842,-120.918909,6.121026302,0.001669433,Mar-22,no median,NA,NA,cable,NA,67,60,175,0,30,20066,30,150,1622,2032,153,153
28068,Dead,davidhamilton,Western Gray Squirrel,NA,Sciurus griseus,NA,Mammal (Small),Squirrels,100% certain,3/24/2015 2:15,15:00.0,definitely less than 24 hours,39.96994,-120.939353,NA,NA,NA,NA,daily,NA,NA,David Hamilton,45583,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,3,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,3050,128,40,NA,NA,NA,NA,152,NA,2,12,NA,0.168,0,NA,NA,0,NA,0,6_SHS_070_P,105+08793,P1.11,CA-70,NA,Bucks Lake Rd,United States,California,Plumas,95971,Eastbound,40.0386704,-120.983902,39.936754,-120.948961,10.12872012,0.001538832,Oct-22,no median,NA,NA,thrie beam,NA,42,120,2300,0,0,19738,30,60,120,446,134,134
28150,Dead,kelbyg,Western Gray Squirrel,NA,Sciurus griseus,NA,Mammal (Small),Squirrels,100% certain,3/31/2015 3:30,04:00.0,definitely less than 3 hours,39.93262,-120.849116,NA,state / rural highway,NA,55 mph,weekly,NA,NA,kelby gardiner,45704,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2950,178,93,NA,NA,NA,NA,65,NA,2,0,NA,0.331,0,NA,NA,0,NA,0,6_SHS_070_P,105+08894,P1.11,CA-70,NA,Squirrel Creek Rd,United States,California,Plumas,95971,Eastbound,39.936754,-120.948961,39.9123986,-120.8075866,8.334405727,0.001772432,Oct-22,no median,NA,NA,NA,NA,42,60,2644,0,30,17347,30,85,547,495,228,228
28151,Dead,kelbyg,Western Gray Squirrel,NA,Sciurus griseus,NA,Mammal (Small),Squirrels,100% certain,3/31/2015 3:15,07:00.0,definitely less than 24 hours,39.911527,-120.805122,NA,state / rural highway,NA,55 mph,weekly,NA,NA,kelby gardiner,45705,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2950,178,93,NA,NA,NA,NA,71,NA,2,1.1,NA,0.227,0,NA,NA,0,NA,0,6_SHS_070_P,105+08895,P1.11,CA-70,NA,Sloat Rd,United States,California,Plumas,95971,Eastbound,39.9123986,-120.8075866,39.876035,-120.729646,5.508348282,0.001524614,Oct-22,no median,NA,NA,NA,NA,1924,108,4602,30,30,14819,0,212,828,1191,258,258
28441,Dead,cdillingham,Western Gray Squirrel,NA,Sciurus griseus,NA,Mammal (Small),Squirrels,100% certain,4/13/2015 10:45,08:00.0,definitely less than 6 hours,39.958978,-120.953989,NA,state / rural highway,NA,55 mph,weekly,NA,NA,Colin Dillingham,46246,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_070_P,70,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,3050,128,40,NA,NA,NA,NA,132,NA,2,9.2,NA,0.255,0,NA,NA,0,NA,0,6_SHS_070_P,105+08793,P1.11,CA-70,NA,Bucks Lake Rd,United States,California,Plumas,95971,Eastbound,40.0386704,-120.983902,39.936754,-120.948961,10.12872012,0.001613235,Oct-22,no median,NA,NA,thrie beam,NA,60,90,1639,0,30,18960,30,42,806,1570,85,85
28500,Dead,pnmaurer,Western Gray Squirrel,NA,Sciurus griseus,NA,Mammal (Small),Squirrels,100% certain,3/1/2015 6:00,30:00.0,about one week,40.878569,-122.377417,NA,interstate,NA,65 mph,monthly,NA,NA,Peter Maurer,46357,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_005_S,5,NA,0,0,1,2,99999,1,0,1,0,4,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,20400,5149,775,3.029,0.456,12,50,155,NA,2,9.1,NA,0.112,0,NA,NA,0,NA,0,6_SHS_005_S,105-05395,P1.3,I-5,NA,Salt Creek Rd/Exit 698,United States,California,Shasta,96051,Southbound,40.8891304,-122.3837166,40.8585404,-122.3475086,3.072834938,0.001551554,Dec-23,concrete,NA,NA,NA,NA,859,216,201,0,0,258,30,60,342,721,2802,201
28542,Dead,kelbyg,Western Gray Squirrel,NA,Sciurus griseus,NA,Mammal (Small),Squirrels,100% certain,4/28/2015 9:15,22:00.0,definitely less than 24 hours,40.060483,-120.963228,NA,NA,NA,NA,weekly,NA,NA,kelby gardiner,46410,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_089_P,89,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2100,137,107,NA,NA,NA,NA,194,NA,2,2.4,NA,0.374,0,NA,NA,0,NA,0,6_SHS_089_P,105+08779,P1.11,CA-89,NA,CR-A22/Arlington Rd,United States,California,Plumas,95934,Northbound,40.0386704,-120.983902,40.085842,-120.918909,6.121026302,0.001658012,Mar-22,no median,pull-out,NA,NA,NA,268,67,1758,0,0,17460,30,170,170,4849,162,162
28781,Dead,pnmaurer,Western Gray Squirrel,NA,Sciurus griseus,NA,Mammal (Small),Squirrels,somewhat confident,5/23/2015 8:30,18:00.0,about one week,41.623858,-122.811677,NA,state / rural highway,NA,55 mph,monthly,NA,NA,Peter Maurer,46899,Bulk Upload CSV,not reviewed,not verified,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,2016,6,SHS_003_P,3,NA,0,0,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,3275,62,62,NA,NA,NA,NA,75,NA,2,0.6,NA,0.091,0,NA,NA,0,NA,0,6_SHS_003_P,105+20697,P1.11,CA-3,NA,Soap Creek Ridge Rd,United States,California,Siskiyou,96032,Northbound,41.601088,-122.846634,41.677424,-122.72335,9.641037093,0.001619552,Apr-21,no median,NA,NA,cable,NA,216,153,2718,30,30,2770,60,120,30,0,330,330
